feature,importance
SHAA,0.14013245
HODESH_TEUNA,0.099208111
SUG_TEUNA,0.083456781
YOM_BASHAVUA,0.07876488
ROAD_STRUCTURE,0.070335547
EZOR_TIVI,0.062071564
ROHAV,0.050949243
NAFA,0.044069517
ZURAT_ISHUV,0.032960224
MEHIRUT_MUTERET,0.032803748
TEURA,0.031441556
MAHOZ,0.031040309
SUG_DEREH,0.030424596
SIMUN_TIMRUR,0.026876871
MEKOM_HAZIYA,0.025113209
TKINUT,0.021240858
OFEN_HAZIYA,0.017935759
STATUS_IGUN,0.016368962
PNE_KVISH,0.01590624
MEZEG_AVIR,0.014951973
YOM_LAYLA,0.014256757
MAAMAD_MINIZIPALI,0.012610101
SUG_YOM,0.012605994
KIVUN_HAZIYA,0.010042165
SUG_EZEM,0.009885784
MERHAK_EZEM,0.006486793
LO_HAZA,0.005974324
THUM_GEOGRAFI,0.002085685
